ID,predicted,Gene.symbol
210697_at,9.0,ZNF257
204410_at,1.0,EIF1AY
205000_at,9.0,DDX3Y
229552_at,9.0,LOC283454///HRK
203815_at,1.0,GSTT1
214827_at,1.0,PARD6B
235075_at,1.0,DSG3
207768_at,1.0,EGR4
232618_at,1.0,TXLNGY
1562245_a_at,9.0,ZNF578
201909_at,9.0,RPS4Y1
220139_at,3.0,DNMT3L
221577_x_at,1.0,GDF15
206762_at,1.0,KCNA5
206624_at,9.0,USP9Y
228492_at,9.0,USP9Y
220513_at,1.0,KHDC1L
206201_s_at,1.0,MEOX2
1567183_s_at,1.0,LOC105376944
232794_at,1.0,LOC153682
206552_s_at,1.0,TAC1
205569_at,1.0,LAMP3
240863_at,1.0,CYP19A1
214131_at,1.0,TXLNGY
240557_at,1.0,TSC22D2
235385_at,9.0,Mar-01
1553625_at,1.0,FAM98B
229459_at,9.0,FAM19A5
207302_at,1.0,SGCG
1559722_at,1.0,C9orf3
232650_at,1.0,C12orf65
234989_at,1.0,MIR612///NEAT1
236914_at,1.0,LOC100506790
1561218_s_at,9.0,LOC728099
235902_at,1.0,HERC2P7
1569072_s_at,1.0,ABCB5
1560958_s_at,1.0,LOC101928516
243221_at,1.0,FAM20A
210587_at,1.0,INHBE
206864_s_at,1.0,HRK
210196_s_at,1.0,PSG1
1565638_at,1.0,PMP22
229152_at,1.0,FDCSP
229340_at,1.0,NKAPL
1561009_at,1.0,MAOB
205577_at,1.0,PYGM
233343_at,1.0,DEFB127
215263_at,1.0,ZXDB///ZXDA
217495_x_at,1.0,CALCA
1570360_s_at,1.0,DDX3Y
235461_at,1.0,TET2
204855_at,9.0,SERPINB5
227910_at,1.0,XPNPEP3
220784_s_at,1.0,UTS2
234049_at,1.0,FAM86B3P
211129_x_at,1.0,EDA
1562901_at,1.0,LINC01197
220324_at,1.0,LINC00472
230804_at,1.0,NKAPL
1557609_s_at,1.0,TBC1D12
219942_at,1.0,MYL7
204661_at,1.0,CD52
1561892_at,1.0,ZMYM6
1557439_at,1.0,ARHGEF7-AS2
243478_at,1.0,CHST2
243761_at,1.0,LOC102723899///CLDN12
1567182_at,1.0,LOC105376944
241112_at,1.0,ZNF517
235401_s_at,1.0,FCRLA
226612_at,1.0,UBE2QL1
233662_at,1.0,CDH26
1560526_at,1.0,MAGI2-IT1
221081_s_at,1.0,DENND2D
228546_at,1.0,DPP6
210262_at,1.0,CRISP2
1553885_x_at,1.0,ZNF99
217705_at,1.0,PRKD1
204719_at,1.0,ABCA8
226535_at,1.0,LOC100505984///ITGB6
238685_at,1.0,STXBP5-AS1
225239_at,1.0,MIR612///NEAT1
1563750_at,1.0,LRRC37A8P
1553449_at,1.0,LINC00304
232267_at,1.0,ADGRD1
229901_at,1.0,ZNF488
217561_at,1.0,CALCA
207414_s_at,1.0,LOC100507472///PCSK6
1553276_at,1.0,ZNF560
218145_at,1.0,TRIB3
207897_at,1.0,CRHR2
239517_at,1.0,LOC100505984///ITGB6
1553138_a_at,1.0,ANKLE1
210445_at,1.0,FABP6
1554594_at,1.0,ARHGAP27
210998_s_at,1.0,HGF
205001_s_at,1.0,DDX3Y
1555315_a_at,1.0,MAK
217613_at,1.0,TMEM144
1566129_at,1.0,LIMS1
1558712_at,1.0,TMEM134
228425_at,1.0,PAX8-AS1
1562566_at,1.0,TRAF3IP2-AS1
214983_at,1.0,TTTY15
1555102_at,1.0,FGF7
236161_at,1.0,KCCAT333
233011_at,1.0,ANXA1
206300_s_at,1.0,PTHLH
207893_at,1.0,SRY
228599_at,1.0,MS4A1
1564909_at,1.0,LOC101928495
220983_s_at,1.0,MIR612///NEAT1
232195_at,1.0,GPR158
244578_at,1.0,LCP2
213269_at,1.0,ZNF248
213524_s_at,1.0,G0S2
224153_s_at,1.0,DHRS4-AS1
1558820_a_at,1.0,CCDC178
243457_s_at,1.0,ZNF214
210066_s_at,1.0,AQP4
215117_at,1.0,RAG2
236701_at,1.0,GSG1L
1569777_a_at,1.0,ZPLD1
206885_x_at,1.0,GH1
231187_at,1.0,SLC28A1
231210_at,1.0,MAJIN
1553024_at,1.0,DAOA-AS1
228766_at,1.0,CD36
207060_at,1.0,EN2
218863_s_at,1.0,TNS1
1556894_at,1.0,NT5DC2
1568762_at,1.0,LOC728613///PDCD6
202015_x_at,1.0,METAP2
1566337_x_at,1.0,CHML
232599_at,1.0,EXOC6
243875_at,1.0,CCDC158
238997_at,1.0,PSORS1C3
242571_at,1.0,REPS2
225442_at,1.0,DDR2
216013_at,1.0,ZXDB
217067_s_at,1.0,DMP1
1559665_at,1.0,LOC100506999
