ID,predicted,Gene.symbol
210697_at,0.0,ZNF257
204410_at,0.0,EIF1AY
205000_at,0.0,DDX3Y
229552_at,0.0,LOC283454///HRK
239858_at,0.0,
203815_at,0.0,GSTT1
214827_at,0.0,PARD6B
235075_at,0.0,DSG3
207768_at,0.0,EGR4
232618_at,0.0,TXLNGY
1562245_a_at,0.0,ZNF578
1558048_x_at,0.0,
201909_at,0.0,RPS4Y1
220139_at,0.0,DNMT3L
221577_x_at,0.0,GDF15
206762_at,0.0,KCNA5
206624_at,0.0,USP9Y
228492_at,0.0,USP9Y
220513_at,0.0,KHDC1L
206201_s_at,0.0,MEOX2
1567183_s_at,0.0,LOC105376944
237665_at,0.0,
243126_x_at,0.0,
231484_at,0.0,
232794_at,0.0,LOC153682
1562342_at,0.0,
231709_x_at,0.0,
206552_s_at,0.0,TAC1
205569_at,0.0,LAMP3
240863_at,0.0,CYP19A1
214131_at,0.0,TXLNGY
240557_at,0.0,TSC22D2
235385_at,0.0,Mar-01
1553625_at,0.0,FAM98B
1563072_at,0.0,
229459_at,0.0,FAM19A5
207302_at,0.0,SGCG
1559722_at,0.0,C9orf3
232650_at,0.0,C12orf65
222356_at,0.0,
1570561_at,0.0,
237374_at,0.0,
234989_at,0.0,MIR612///NEAT1
236914_at,0.0,LOC100506790
244883_at,0.0,
237233_at,0.0,
238892_at,0.0,
1561218_s_at,0.0,LOC728099
1566428_at,0.0,
235902_at,0.0,HERC2P7
1569072_s_at,0.0,ABCB5
234269_at,0.0,
1560958_s_at,0.0,LOC101928516
243221_at,0.0,FAM20A
210587_at,0.0,INHBE
208278_s_at,0.0,
206864_s_at,0.0,HRK
1561431_at,0.0,
210196_s_at,0.0,PSG1
234569_at,0.0,
1565638_at,0.0,PMP22
229152_at,0.0,FDCSP
229340_at,0.0,NKAPL
1558170_at,0.0,
1561009_at,0.0,MAOB
205577_at,0.0,PYGM
233343_at,0.0,DEFB127
215263_at,0.0,ZXDB///ZXDA
217495_x_at,0.0,CALCA
1570360_s_at,0.0,DDX3Y
235461_at,0.0,TET2
204855_at,0.0,SERPINB5
227910_at,0.0,XPNPEP3
220784_s_at,0.0,UTS2
234049_at,0.0,FAM86B3P
236936_at,0.0,
211129_x_at,0.0,EDA
1562901_at,0.0,LINC01197
220324_at,0.0,LINC00472
230804_at,0.0,NKAPL
1557609_s_at,0.0,TBC1D12
219942_at,0.0,MYL7
204661_at,0.0,CD52
1561892_at,0.0,ZMYM6
1557439_at,0.0,ARHGEF7-AS2
243478_at,0.0,CHST2
243761_at,0.0,LOC102723899///CLDN12
1567182_at,0.0,LOC105376944
241112_at,0.0,ZNF517
235401_s_at,0.0,FCRLA
226612_at,0.0,UBE2QL1
233662_at,0.0,CDH26
1563002_at,0.0,
1560526_at,0.0,MAGI2-IT1
221081_s_at,0.0,DENND2D
228546_at,0.0,DPP6
1564656_at,0.0,
210262_at,0.0,CRISP2
1553885_x_at,0.0,ZNF99
217705_at,0.0,PRKD1
204719_at,0.0,ABCA8
241023_at,0.0,
224098_at,0.0,
226535_at,0.0,LOC100505984///ITGB6
239906_at,0.0,
238169_at,0.0,
238685_at,0.0,STXBP5-AS1
225239_at,0.0,MIR612///NEAT1
1563750_at,0.0,LRRC37A8P
1553449_at,0.0,LINC00304
232267_at,0.0,ADGRD1
241211_at,0.0,
229901_at,0.0,ZNF488
217561_at,0.0,CALCA
207414_s_at,0.0,LOC100507472///PCSK6
1553276_at,0.0,ZNF560
218145_at,0.0,TRIB3
207897_at,0.0,CRHR2
1567174_at,0.0,
239517_at,0.0,LOC100505984///ITGB6
1553138_a_at,0.0,ANKLE1
1561613_at,0.0,
239344_at,0.0,
210445_at,0.0,FABP6
1570152_at,0.0,
1554594_at,0.0,ARHGAP27
210998_s_at,0.0,HGF
205001_s_at,0.0,DDX3Y
1561778_at,0.0,
1555315_a_at,0.0,MAK
217613_at,0.0,TMEM144
1566129_at,0.0,LIMS1
1560263_at,0.0,
1558712_at,0.0,TMEM134
1564292_at,0.0,
1566787_at,0.0,
1566484_at,0.0,
228425_at,0.0,PAX8-AS1
221137_at,0.0,
1562566_at,0.0,TRAF3IP2-AS1
236307_at,0.0,
214983_at,0.0,TTTY15
1555102_at,0.0,FGF7
237689_at,0.0,
244083_at,0.0,
236161_at,0.0,KCCAT333
233011_at,0.0,ANXA1
206300_s_at,0.0,PTHLH
207893_at,0.0,SRY
234242_at,0.0,
228599_at,0.0,MS4A1
1564909_at,0.0,LOC101928495
220983_s_at,0.0,MIR612///NEAT1
216728_at,0.0,
232195_at,0.0,GPR158
244578_at,0.0,LCP2
213269_at,0.0,ZNF248
229108_at,0.0,
213524_s_at,0.0,G0S2
224153_s_at,0.0,DHRS4-AS1
1558820_a_at,0.0,CCDC178
243457_s_at,0.0,ZNF214
210066_s_at,0.0,AQP4
1561918_at,0.0,
215117_at,0.0,RAG2
236701_at,0.0,GSG1L
1569777_a_at,0.0,ZPLD1
237902_at,0.0,
206885_x_at,0.0,GH1
231187_at,0.0,SLC28A1
231210_at,0.0,MAJIN
1553024_at,0.0,DAOA-AS1
228766_at,0.0,CD36
207060_at,0.0,EN2
218863_s_at,0.0,TNS1
1563643_at,0.0,
1556894_at,0.0,NT5DC2
1568762_at,0.0,LOC728613///PDCD6
202015_x_at,0.0,METAP2
1566337_x_at,0.0,CHML
232599_at,0.0,EXOC6
243875_at,0.0,CCDC158
238997_at,0.0,PSORS1C3
242571_at,0.0,REPS2
225442_at,0.0,DDR2
216013_at,0.0,ZXDB
217067_s_at,0.0,DMP1
1559665_at,0.0,LOC100506999
204430_s_at,0.0,SLC2A5
1557762_at,0.0,LOC105377458
216113_at,0.0,ABI2
1565760_at,0.0,
220252_x_at,0.0,CXorf21
1554012_at,0.0,RSPO2
210728_s_at,0.0,CALCA
236539_at,0.0,PTPN22
204938_s_at,0.0,PLN
1554797_at,0.0,SYT16
229296_at,0.0,LINC01503
201261_x_at,0.0,BGN
244745_at,0.0,RERG
210861_s_at,0.0,WISP3
230586_s_at,0.0,ZNF703
235002_at,0.0,NUDT16
220412_x_at,0.0,KCNK7
242785_at,0.0,EML6
207756_at,0.0,
1561924_at,0.0,
217021_at,0.0,CYB5A
1559842_at,0.0,
34210_at,0.0,CD52
1560720_at,0.0,MKNK1
1555865_at,0.0,TOLLIP-AS1
217201_at,0.0,RASAL2
1554996_at,0.0,ZNF733P///LOC285902///ZNF479///ZNF273
206769_at,0.0,TMSB4Y
224565_at,0.0,MIR612///NEAT1
1564015_at,0.0,PIEZO2
1561535_at,0.0,LOC101928273
241536_at,0.0,
206509_at,0.0,PIP
232257_s_at,0.0,
1570160_at,0.0,
208394_x_at,0.0,ESM1
1552851_at,0.0,ZSCAN4
224083_s_at,0.0,PRO1596
1557389_at,0.0,SH3PXD2A-AS1
1554931_at,0.0,CYP4A22///CYP4A11
1553275_s_at,0.0,
208243_s_at,0.0,CNR1
216529_at,0.0,
204409_s_at,0.0,EIF1AY
207964_x_at,0.0,IFNA4
238697_at,0.0,SMIM10L2A
1560695_at,0.0,QTRT2
236189_at,0.0,ANKRD50
1552715_a_at,0.0,RXFP1
239902_at,0.0,
235462_at,0.0,CPEB2
236205_at,0.0,ABCC6P1
234314_at,0.0,RALGAPA2
1560144_at,0.0,
202768_at,0.0,FOSB
1562044_at,0.0,LOC101928580
237575_at,0.0,
1553266_at,0.0,CNOT6L
243183_at,0.0,
220445_s_at,0.0,CSAG2///CSAG3
214234_s_at,0.0,CYP3A5
1565778_at,0.0,ABCA8
